year,log_bin_ratio,normalization_mean_income_adj_2025_usd,positive_income_observation_n,gompertz_A,gompertz_B,gompertz_r2,gompertz_sse,gompertz_x_gmax,gompertz_point_n,gompertz_selection_status,gompertz_boundary_A_free,gompertz_boundary_B_free,gompertz_boundary_r2_free,gompertz_population_n,gompertz_population_pct,gompertz_ccdf_at_x_t_percent,bootstrap_reps,gompertz_B_bootstrap_se,gompertz_A_free_bootstrap_se,gompertz_B_free_bootstrap_se,exponential_intercept,exponential_alpha,exponential_r2,gompertz_income_share_pct
1976,1.1,1123.4336622312137,148396,1.5271796258079011,0.3358929528050949,0.9827824947279504,0.5614917949745617,8.12404196092477,80,largest_range_with_free_A_in_1.4_to_1.6,1.536109954082474,0.3379900595976206,0.9829268484796976,148143,99.82951022938624,1.0039473563898518,,,,,,,,
1977,1.1,2803.2700499960256,193886,1.5271796258079011,0.8184900543987281,0.9190098538573244,6.506213539446655,4.969081590121589,86,largest_range_with_free_A_in_1.4_to_1.6,1.5539377231002676,0.8287669827057085,0.9195893087871576,192930,99.50692675077109,1.0000000000000002,,,,,,,,
1978,1.1,1866.039568598247,216329,1.5271796258079011,0.4989634954211046,0.9770035872493732,0.9278368834380436,5.932210450585062,96,largest_range_with_free_A_in_1.4_to_1.6,1.5267294032027043,0.4988186256394966,0.9770039640726004,215671,99.69583366076672,1.0000000039273356,1000.0,0.024322919950309763,0.008007475660642905,0.026384887324691405,4.415849406520494,0.9574934205131,0.8929096430450928,59.077025620961365
1979,1.1,1520.2830793853295,171371,1.5271796258079011,0.5102815543167669,0.9187058407837138,5.246166487566672,6.935027877303481,103,largest_range_with_free_A_in_1.4_to_1.6,1.557840581430473,0.5187213617369253,0.9199004301882712,169623,98.97999078023705,1.1431292873881234,1000.0,0.05002338609586257,0.018370844226579194,0.05555993633353513,4.429009289005845,0.8429132986359619,0.9003272127268801,59.800922330517665
1981,1.1,338.6739752811485,472198,1.5271796258079011,0.3362212793378943,0.9732063787839208,0.7899853294941023,7.371242712382564,101,largest_range_with_free_A_in_1.4_to_1.6,1.5426976258399587,0.3402385293521328,0.97385992315513,466517,98.79690299408298,1.4714987663647576,1000.0,0.01879874263567517,0.005356568811870695,0.01936496093698337,4.523676721579541,0.7272225872341823,0.941435183747279,85.84720476113166
1982,1.1,810.2245411619291,206845,1.5271796258079011,0.3280447219242505,0.9832186731289422,0.5450801421699355,7.849559609203476,120,largest_range_with_free_A_in_1.4_to_1.6,1.536240201198786,0.3302483095104128,0.9834688894091989,204285,98.76235828760666,1.4200598234991886,1000.0,0.014328711662934871,0.004610768854526819,0.015272896499915015,4.5043550856523265,0.6954317697438209,0.9309497509768927,85.17953980734302
1983,1.1,201.27922208498336,499794,1.5271796258079011,0.3768244213191262,0.8997679377878144,4.7226292113790045,7.96710960176985,95,largest_range_with_free_A_in_1.4_to_1.6,1.5665094261996255,0.3862457931569002,0.9021977557546706,494618,98.96437332180858,1.2570575732843705,1000.0,0.04389191659840066,0.017696199684460193,0.04692471451010617,4.487115324639985,0.6929983366953777,0.9360851213801408,86.46612531340745
1984,1.1,173.89547517905245,504510,1.5271796258079011,0.3482762211658424,0.9556580773170398,1.6309627814913037,7.82329475179977,104,largest_range_with_free_A_in_1.4_to_1.6,1.5489594592064022,0.3535904213867211,0.9567285726361447,498899,98.88783175754692,1.3524960224057565,1000.0,0.02593952367073208,0.00835624678275171,0.026731661692529208,4.5095902455306,0.701594226346219,0.9366643997816677,86.46456768297374
1985,1.1,190.0018310308094,514137,1.5271796258079011,0.3371839256732198,0.9736562886524748,0.8658942712979457,7.727884152904459,106,largest_range_with_free_A_in_1.4_to_1.6,1.541161690646545,0.3406375005349404,0.9741618891160012,508104,98.82657735195096,1.4050770522546792,1000.0,0.018025050066511644,0.005531054444435069,0.0195745710347297,4.51331708684944,0.7067441256113571,0.935439908772273,84.87907535586164
1986,1.1,283.0933300464876,284142,1.5271796258079011,0.3394058346564101,0.9799474628998306,0.5457071088052964,7.218092203968127,84,largest_range_with_free_A_in_1.4_to_1.6,1.545451036552364,0.3442358578517291,0.9807205808105148,280589,98.74956887753306,1.4880272571459108,1000.0,0.015751188332500565,0.005733808357470791,0.016336865535174997,4.50175462772775,0.7356766271754426,0.9403332153659704,84.22080517992408
1987,1.1,226.7955159829924,292615,1.5271796258079011,0.3382154084691118,0.9764005817682612,0.7583629580120259,7.763947684149914,92,largest_range_with_free_A_in_1.4_to_1.6,1.5434750934624673,0.3422215782551636,0.9769873470223168,289156,98.81790065444356,1.3955683158912229,1000.0,0.017752059996064013,0.008509576811484712,0.01924164464006608,4.454344800738818,0.6920908944437181,0.9319314081652332,84.53158264435757
1988,1.1,248.49461461924585,289633,1.5271796258079011,0.3385303236124596,0.9539490016797696,1.8879922359895769,8.533216400084266,104,largest_range_with_free_A_in_1.4_to_1.6,1.541946388671655,0.3418336942446066,0.954390479321699,286493,98.9158693933357,1.292085263692789,1000.0,0.025589039152813874,0.01052489172354373,0.02693848409503928,4.462260875408552,0.6524803943125215,0.9198953891987233,84.28197881971927
1989,1.1,2353.91701857948,113518,1.5271796258079011,0.3275800185270039,0.9474816177385786,2.554811541327565,9.73777265679984,97,largest_range_with_free_A_in_1.4_to_1.6,1.5299438140996071,0.3281218785877,0.947493555627542,112318,98.94289892351874,1.208793170035141,1000.0,0.02416240394627576,0.01423882221077407,0.027279967035683833,4.354057662064516,0.5768600644471612,0.8903132847583195,79.49838606417381
1990,1.1,2620.227696943567,115589,1.5271796258079011,0.3139379776104158,0.981427668023486,0.6273564460224508,8.665971226618906,96,largest_range_with_free_A_in_1.4_to_1.6,1.5235920352618275,0.3131477373671628,0.9814562471406864,114224,98.81909178209,1.354170809741669,1000.0,0.013381097920112217,0.0066159189162336785,0.014887110315332915,4.415117609643123,0.6314830616068335,0.9087317443996332,80.65472827104087
1992,1.1,319.2575000347547,75322,1.5271796258079011,0.3634917570211073,0.9677989654206934,1.1557771404548314,7.465068963129983,101,largest_range_with_free_A_in_1.4_to_1.6,1.5518884750231396,0.3698095738271282,0.9691598830568527,74465,98.86221820981918,1.3570937766767404,1000.0,0.02235618742189524,0.005313378530900389,0.02315292882933987,4.539962511376375,0.7439748384057159,0.943786020277011,85.3053392507661
1993,1.1,356.6437655311534,76818,1.5271796258079011,0.3367266379026451,0.98423346944362,0.5576473811891534,8.09189309790807,106,largest_range_with_free_A_in_1.4_to_1.6,1.5378937279822094,0.3392542185742204,0.9845093495709673,75908,98.8153818115546,1.3524599131707695,1000.0,0.013315471303154042,0.004509094511553245,0.01483965627640033,4.503800345821409,0.6919067645846209,0.925323993764481,83.22863737287796
1995,1.1,566.5207657533582,82246,1.5271796258079011,0.3663782471275534,0.9209250863920564,3.718463147019167,8.407876016545897,87,largest_range_with_free_A_in_1.4_to_1.6,1.5638883942401107,0.3747107840889911,0.9228167475707852,81391,98.96043576587311,1.2355945276478837,1000.0,0.03625236218499138,0.021474208806890976,0.040679842957713465,4.42604432082794,0.6592162112295984,0.9227102133716218,85.36588839148008
1996,1.1,584.2302970253653,80874,1.5271796258079011,0.3527479416740316,0.9510004964964944,1.9050019340089013,8.124437179052151,85,largest_range_with_free_A_in_1.4_to_1.6,1.5561043976656594,0.3595423521420449,0.9523780722955018,79995,98.91312411899992,1.2997690391992796,1000.0,0.02609216628371466,0.014104378286274132,0.02981964633541936,4.4451665192654435,0.674470365309169,0.9283125319924007,85.43391765590395
1997,1.1,555.5779504636477,86474,1.5271796258079011,0.3365142005533588,0.979425529307422,0.6517890634129491,7.79009107647884,90,largest_range_with_free_A_in_1.4_to_1.6,1.5425276410319324,0.3402746256320458,0.97993866899397,85440,98.80426486574,1.3976258697802673,1000.0,0.01606839869348092,0.0077819116144084806,0.017311546844393313,4.452208872355474,0.6911606173962623,0.9289918978978741,84.06610600916461
1998,1.1,533.1656956356326,87130,1.5271796258079011,0.3350272577784648,0.9768001935261788,0.7967948111459514,8.15287296793561,89,largest_range_with_free_A_in_1.4_to_1.6,1.5426548530677415,0.338650015834246,0.9772744257122392,86122,98.84310799954092,1.3497445319482422,1000.0,0.016657015638080544,0.008620164805843065,0.018445926305544164,4.4421847945295765,0.6701056708026957,0.922332647344724,84.27008722170103
1999,1.1,322.8328372731745,90372,1.5271796258079011,0.355624053165173,0.9417000132779724,2.361096064174796,8.176655455951684,85,largest_range_with_free_A_in_1.4_to_1.6,1.5581454602158464,0.3628508957227122,0.9432157430941104,89404,98.9288717744434,1.2858483154041327,1000.0,0.028625143290714687,0.016491983866291467,0.03296440480126647,4.439717696783055,0.6709351932121187,0.9252206171132624,85.45847800549845
2001,1.1,250.52313570996824,99538,1.5271796258079011,0.3778216558111698,0.8915725196010461,5.823078643912146,8.53395522561751,88,largest_range_with_free_A_in_1.4_to_1.6,1.570973831809025,0.3876160716148116,0.8939656507951974,98521,98.9782796519922,1.2010641355541822,1000.0,0.044668447555102964,0.02421602618326043,0.04855364463036956,4.433204820630289,0.656787083091404,0.9199470820408249,85.48947805531292
2002,1.1,215.1141794549574,102500,1.5271796258079011,0.3870152407161966,0.8886291672738166,5.927077542450733,8.319232469818342,83,largest_range_with_free_A_in_1.4_to_1.6,1.579903128241604,0.3991083328399447,0.8918686332517911,101452,98.97756097560976,1.202088688857317,1000.0,0.04632414068947068,0.02328122068978588,0.05124605102526874,4.4557119664556355,0.6739796346090862,0.9261998967025238,85.90117034177302
2003,1.1,261.6397433348956,104013,1.5271796258079011,0.3544394478402731,0.9644034364791616,1.3321962812153036,7.988967241340482,85,largest_range_with_free_A_in_1.4_to_1.6,1.5556113011081452,0.3612296875252681,0.9657863369709258,102856,98.88763904511936,1.3117057181372922,1000.0,0.02253025883637286,0.010161705454980016,0.024342477673039757,4.474188489184395,0.6936683445219083,0.9295754945171553,85.74923484000576
2004,1.1,284.4605044411012,109014,1.5271796258079011,0.387799547861654,0.9141478628535272,4.2676016350856845,8.29192947397243,73,largest_range_with_free_A_in_1.4_to_1.6,1.5886829114632903,0.4019418270837376,0.9181089188260244,107887,98.96618782908617,1.202989880040048,1000.0,0.03826939685964496,0.0235169359439619,0.04296930891228449,4.430745071824688,0.6745305181156122,0.9247685183254097,86.13984885395026
2005,1.1,379.5804662471768,113323,1.5271796258079011,0.3381727004558373,0.9869226798909324,0.3585069742493945,7.475625354864691,73,largest_range_with_free_A_in_1.4_to_1.6,1.547720159038835,0.3434116097002068,0.9877237890182732,111888,98.73370807338316,1.4442042826890518,1000.0,0.012020456682140518,0.006311206133123599,0.012991422580207166,4.45561586613606,0.7137449190113453,0.9296511881138207,84.48891766310027
2006,1.1,437.5725379891993,115228,1.5271796258079011,0.4061398256725995,0.8714065429561298,7.222180338523182,8.137758270021328,75,largest_range_with_free_A_in_1.4_to_1.6,1.599618372080252,0.4231159357741783,0.8764559391148916,114057,98.98375394869302,1.1841138283155754,1000.0,0.05321637659129234,0.03050234531752932,0.05795780644337953,4.446191925912404,0.688771221456532,0.926740370352372,86.56334029979217
