year,N,N_valid,n_nan,n_zero,n_negative,xmin_positive_nominal,xmax_nominal,mean_nominal,median_nominal,std_nominal,income_sum_nominal,xmin_positive,xmax,mean,median,std,income_sum,Gini,Pietra,Kolkata,Kolkata_pct,Zanardi,top_10,top_1,top_01,income_observation_n,income_mean_2025_usd,income_median_2025_usd,income_std_2025_usd,p90_p99_population_n,p90_p99_income_share_pct,p90_p99_mean_income_2025_usd,p90_p99_median_income_2025_usd,p90_p99_std_income_2025_usd,p99_p999_population_n,p99_p999_income_share_pct,p99_p999_mean_income_2025_usd,p99_p999_median_income_2025_usd,p99_p999_std_income_2025_usd,p999_p100_population_n,p999_p100_income_share_pct,p999_p100_mean_income_2025_usd,p999_p100_median_income_2025_usd,p999_p100_std_income_2025_usd,IPEA,Banco_Mundial,diff_IPEA,diff_Banco_Mundial
1976,148396,148396,0,0,0,1.0,999999.0,2257.742526752743,1000.0,8285.144327925911,335039960.0,0.49759157606293647,497591.0784713604,1123.4336622312137,497.5915760629364,4122.618024041552,166713061.7404632,0.6216953545493196,0.470887364044854,0.7337138675289356,73.37138675289356,0.01734569358074186,0.5201841266935365,0.18273519373634983,0.06634012850293902,148396,1123.4336622312135,497.5915760629364,4122.618024041553,13356,33.745203706447434,4212.163992930127,3483.141032440555,1866.7484109343995,1335,11.628928680626633,14522.054719915735,12937.380977636347,4611.163447723817,149,6.6448294704906266,74347.64199790289,42016.63268275435,90560.15207061429,,,,
1977,193886,193886,0,0,0,1.0,1119000.0,7912.467238480344,1316.0,69386.84298927562,1534116623.0,0.35428520150617615,396445.1404854111,2803.2700499960256,466.23932518212774,24582.73165033292,543514816.9135294,0.8486892248917344,0.7131317987194316,0.8471199621393279,84.71199621393279,0.01629509573939449,0.8112743837990181,0.6590351364702638,0.126500685283376,193886,2803.270049996026,466.23932518212774,24582.731650332928,17450,15.223729180594374,4741.73202196671,3719.994615814849,2488.1108053770276,1745,53.24637917048369,165846.39556535138,40742.798173210256,161867.53790687604,194,12.657499507454327,354615.3880091303,354284.8472209746,3168.4379888565686,,,,
1978,216329,216329,0,0,0,1.0,1099998.0,7290.615391371476,2000.0,54720.424266702576,1577171537.0,0.25595089967394596,281545.4777395412,1866.039568598247,511.90179934789194,14005.741821602553,403678473.83529013,0.768253550064633,0.6083818473474776,0.7986327907363938,79.86327907363938,0.021624497988537467,0.7033648915010233,0.47767096116477337,0.13731941871297526,216329,1866.0395685982471,511.90179934789194,14005.741821602549,19469,22.567339357202712,4679.207514632837,3839.2634951091895,2205.843407206711,1947,33.99472558450058,70482.48044376317,17916.562977176218,97819.10986204707,217,13.77448634491811,256242.56339085652,255950.6437230463,2330.033245501555,,,,
1979,170807,170807,0,0,0,1.0,1029998.0,6774.94643662145,3000.0,13350.450729833068,1157208276.0,0.1513660610401351,155906.7401392171,1025.4969558692883,454.0981831204054,2020.8051400852285,175162058.54116553,0.6035568036912156,0.4558944364587154,0.7271730795811404,72.71730795811405,0.01112176121885827,0.4896104778632181,0.13893289767629236,0.032452511599266654,170807,1025.4969558692883,454.0981831204054,2020.8051400852287,15372,35.063324935985854,3995.42296063301,3405.73637340304,1629.2427304346118,1538,10.65055898373129,12129.868895997897,11352.454578010134,2852.114926273492,171,3.247552733540941,33265.96620046903,26791.79280410392,21073.324017252497,,,,
1981,472198,472198,0,0,0,0.09090909090909091,830000.0,10238.12861593576,5000.0,17716.634593001138,4834423856.187634,0.003007243253367068,27456.13090324133,338.6739752811485,165.39837893518873,586.0605283738952,159921173.77980775,0.5884866557212263,0.4418002483560832,0.7205455417456132,72.05455417456133,0.008887252464587936,0.47029748235282653,0.12589107111701903,0.027128340915561266,472198,338.6739752811485,165.39837893518873,586.0605283738952,42498,34.44070134420353,1296.0133146888868,1152.082408473057,483.69216806168305,4249,9.873038839513168,3715.9518945365417,3440.2862818519257,874.6762416571687,473,2.7161021955478217,9183.134275220307,8159.653360802645,3317.111867714175,,0.57864045464,,0.009846201081226247
1982,206845,206845,0,0,0,1.0,5150000.0,49336.371374700866,25000.0,88324.41086880892,10204981737.0,0.016422459102401747,84575.664377369,810.2245411619291,410.56147756004367,1450.5040252367428,167590895.21663922,0.5898439323148535,0.4419756074881367,0.7204863199960962,72.04863199960963,0.010672672357538803,0.47571409230441075,0.12898897126164066,0.027893120667474514,206845,810.2245411619291,410.56147756004367,1450.5040252367426,18616,34.670839391821644,3121.2489318799467,2665.1187754332677,1254.871951317037,1862,10.110380259272384,9099.933827240042,8217.387973364275,2003.875445208422,207,2.7906942348308488,22593.95870005874,18540.956326611573,11044.807947533855,,0.583560943294,,0.006282989020853558
1983,499797,499797,0,3,0,5.0,7000000.0,43713.015742401374,20428.571428571428,81150.83862496793,21847634129.00498,0.023022663902355404,32231.729463297568,201.27801391913553,94.06402680105208,373.6616966113836,100598147.52274218,0.5984475364063784,0.45192795088660254,0.725584219260646,72.5584219260646,0.008633423759857617,0.47889644649646923,0.13248846452103713,0.030577189627028822,499794,201.2792220849834,94.06968379846809,373.662492659723,44982,34.6408874520573,774.7119083679623,690.6799170706621,285.535587503616,4498,10.190385761490955,2279.088328475141,2072.0397512119866,583.1095933448992,500,3.0585087507463653,6153.606290143614,5064.98605851819,3212.4872071238847,,0.589039744859,,0.009407791547378364
1984,504543,504543,0,33,0,2.5,9999998.0,123746.92207625261,60000.0,213075.30715878782,62435643305.11872,0.003512897502867209,14051.587201150835,173.88410141966835,84.30954006881302,299.40468577630776,87732006.18258373,0.5907641612178143,0.44505261498707505,0.7221229118193508,72.21229118193509,0.009706546603161868,0.4741198298908925,0.12635455451926036,0.025614284346361815,504510,173.89547517905245,84.30954006881302,299.41117478620936,45405,34.774160301605036,671.9098880243522,593.1495315671256,252.15152043610968,4541,10.073231678689439,1946.1458355282543,1812.6551114794797,457.26881605449665,505,2.563137512140922,4452.855367563558,4018.754743280087,1497.5664444390197,,0.582991179841,,0.007772981376814259
1985,514137,514137,0,0,0,4.0,75000000.0,472656.95313793456,223333.33333333334,900141.4286116081,243010427915.47827,0.0016079469879319557,30149.00602372417,190.0018310308094,89.7770401595342,361.8449247122007,97686971.40068725,0.6020969269730102,0.45355558839791854,0.7264272010685632,72.64272010685632,0.008910813058296904,0.483816556097423,0.13734837166333014,0.03295986014687036,514137,190.00183103080937,89.7770401595342,361.8449247122007,46272,34.645921612748126,731.4261656584928,643.1787951727823,279.98708483803784,4627,10.43632383784723,2203.35610174215,2009.9337349149446,576.1759915948535,515,3.2995373026223214,6258.675846927523,5326.324397524603,2795.6363326107166,,0.555264216911,,0.046832710062010174
1986,284142,284142,0,0,0,0.16666666666666666,334666.6666666667,1329.1840383692063,652.25,2830.9573725994533,377677011.030303,0.03549713231006227,71278.24167860505,283.0933300464876,138.9180272954287,602.9452105158542,80438704.98606908,0.5930790055734168,0.44469545804928085,0.7219180055486722,72.19180055486723,0.009757339057691918,0.4754459450184376,0.13895164120433368,0.037182041241316854,284142,283.0933300464876,138.9180272954287,602.9452105158542,25573,33.64845282654959,1058.396734897151,930.7348091698327,393.7293456931263,2557,10.172003035867954,3199.932543291285,2898.163367455034,900.5900772278578,285,3.724758216451593,10512.797449739879,8519.311754414945,8831.820130288714,,0.584328977746,,0.00875002782741674
1987,292615,292615,0,0,0,3.0,500000.0,4000.636700914002,1916.6666666666667,7741.134848936022,1170646308.2379508,0.1700695661251953,28344.927687532545,226.79551598299238,108.65555613554145,438.8438150250594,66363769.909363315,0.6046304992949822,0.4539641921753865,0.7267185094855458,72.67185094855458,0.007595960877384006,0.48384690867099756,0.13988360879304862,0.03390413751556476,292615,226.79551598299238,108.65555613554145,438.8438150250595,26335,34.394254749538504,866.7296025830261,755.8647383342013,336.40341287080906,2634,10.597478903489883,2670.040438764367,2425.5604970052227,721.3371527035092,293,3.393332545203926,7685.813660609814,6662.616977592962,3510.9577253628527,,0.596431493876,,0.00819900541898222
