year,population_share,income_share
1976,0.0,0.0
1976,0.001,1.0120289380138827e-05
1976,0.002,2.7557499112449992e-05
1976,0.003,5.0055740688504956e-05
1976,0.004,7.358461094335983e-05
1976,0.005,0.00010075680183771037
1976,0.006,0.00013386801404436914
1976,0.007,0.00017005827447256894
1976,0.008,0.00020864756916052108
1976,0.009000000000000001,0.0002538853946957676
1976,0.01,0.00029912322023101397
1976,0.011,0.0003443610457662603
1976,0.012,0.0003895988713015068
1976,0.013000000000000001,0.00043483669683675824
1976,0.014,0.00048007452237201125
1976,0.015,0.0005253123479072643
1976,0.016,0.0005705501734425174
1976,0.017,0.0006222315394021139
1976,0.018000000000000002,0.0006765169300444069
1976,0.019,0.0007308023206866999
1976,0.02,0.0007861132731713428
1976,0.021,0.0008475755846089622
1976,0.022,0.0009151526713428614
1976,0.023,0.0009830094096457212
1976,0.024,0.001050866147948581
1976,0.025,0.0011187228862514407
1976,0.026000000000000002,0.0011865796245543007
1976,0.027,0.0012544363628571602
1976,0.028,0.0013222931011600198
1976,0.029,0.0013901498394628797
1976,0.03,0.0014603421393811554
1976,0.031,0.0015327409063363258
1976,0.032,0.0016113610594606347
1976,0.033,0.0016927891454240876
1976,0.034,0.0017761322638693725
1976,0.035,0.0018666079149398526
1976,0.036000000000000004,0.001957083566010332
1976,0.037,0.002047559217080811
1976,0.038,0.0021380348681512905
1976,0.039,0.0022285105192217706
1976,0.04,0.0023189861702922502
1976,0.041,0.00240946182136273
1976,0.042,0.00249993747243321
1976,0.043000000000000003,0.0025904131235036897
1976,0.044,0.002680888774574169
1976,0.045,0.0027713644256446486
1976,0.046,0.0028618400767151287
1976,0.047,0.0029523157277856083
1976,0.048,0.003042791378856088
1976,0.049,0.0031332670299265676
1976,0.05,0.0032237426809970473
1976,0.051000000000000004,0.0033142183320675274
1976,0.052000000000000005,0.003404693983138007
1976,0.053,0.003495169634208486
1976,0.054,0.003585645285278965
1976,0.055,0.003676120936349445
1976,0.056,0.0037707166388355746
1976,0.057,0.003870239855013081
1976,0.058,0.0039737660183212
1976,0.059000000000000004,0.004082333421714872
1976,0.06,0.00419090420299951
1976,0.061,0.004302237263768375
1976,0.062,0.0044153318276065265
